City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,stanley,54.868,-1.6985,14.84,93,40,2.06,GB,1695828478
1,mount pearl,47.5166,-52.7813,10.74,77,100,4.63,CA,1695828891
2,rio grande,-32.035,-52.0986,18.06,73,90,9.15,BR,1695828891
3,lorengau,-2.0226,147.2712,26.68,84,95,2.68,PG,1695828892
4,arraial do cabo,-22.9661,-42.0278,32.98,55,40,7.72,BR,1695828892
5,fortuna,40.5982,-124.1573,14.64,93,100,2.68,US,1695828892
6,udachny,66.4167,112.4,3.03,80,100,8.18,RU,1695828892
7,brinkmann,-30.8659,-62.0374,21.66,32,0,2.19,AR,1695828892
8,bredasdorp,-34.5322,20.0403,14.64,77,0,5.49,ZA,1695828892
9,vila do maio,15.1333,-23.2167,31.44,77,83,5.91,CV,1695828892
10,port-aux-francais,-49.35,70.2167,1.79,70,73,12.96,TF,1695828893
11,albany,42.6001,-73.9662,16.88,77,50,0.45,US,1695828701
12,khorixas,-20.3667,14.9667,31.94,6,0,2.34,,1695828893
13,mitsamiouli,-11.3847,43.2844,27.16,69,20,9.77,KM,1695828893
14,dryden,49.7833,-92.7503,14.16,82,75,3.09,CA,1695828893
15,oroqen zizhiqi,50.5667,123.7167,7.51,95,100,1.53,CN,1695828893
16,nagqu,31.5,92.0,2.24,79,80,1.31,CN,1695828893
17,weno,7.4515,151.8468,25.97,83,100,2.57,FM,1695828893
18,vorkuta,67.5,64.0,2.45,88,100,3.27,RU,1695828559
19,thompson,55.7435,-97.8558,17.09,77,75,4.63,CA,1695828894
20,olonkinbyen,70.9221,-8.7187,3.44,97,100,9.91,SJ,1695828894
21,bethel,41.3712,-73.414,17.31,64,0,5.66,US,1695828830
22,kodiak,57.79,-152.4072,6.73,57,0,3.09,US,1695828894
23,vorgashor,67.5833,63.95,0.95,89,96,2.65,RU,1695828894
24,makhjan,17.2698,73.5003,24.36,96,83,1.04,IN,1695828894
25,bokkos,9.3,9.0,24.11,75,86,1.27,NG,1695828894
26,miandrivazo,-19.5167,45.4667,28.77,42,2,7.07,MG,1695828894
27,tianpeng,30.9866,103.9393,21.46,88,100,0.74,CN,1695828894
28,edinburgh of the seven seas,-37.0676,-12.3116,11.71,69,36,12.66,SH,1695828895
29,blackmans bay,-43.0167,147.3167,11.07,70,2,2.25,AU,1695828895
30,zhanibek,49.4167,46.85,20.62,48,61,3.79,KZ,1695828895
31,brookings,44.3114,-96.7984,18.39,89,75,4.12,US,1695828895
32,whitehorse,60.7161,-135.0538,5.43,99,100,0.0,CA,1695828695
33,yellowknife,62.456,-114.3525,9.67,100,100,2.57,CA,1695828895
34,isafjordur,66.0755,-23.124,7.02,65,75,9.26,IS,1695828895
35,kurumkan,54.3,110.3,7.46,86,30,0.85,RU,1695828896
36,ushuaia,-54.8,-68.3,4.79,48,0,3.6,AR,1695828896
37,west island,-12.1568,96.8225,25.99,78,40,4.63,CC,1695828896
38,longyearbyen,78.2186,15.6401,-7.09,73,20,2.06,SJ,1695828896
39,port elizabeth,-33.918,25.5701,16.84,68,75,4.63,ZA,1695828675
40,barcelos,41.5388,-8.6151,26.06,62,99,2.39,PT,1695828896
41,punta cana,18.5818,-68.4043,30.87,70,20,5.66,DO,1695828831
42,wailua homesteads,22.0669,-159.378,24.44,80,100,6.69,US,1695828897
43,papatowai,-46.5619,169.4708,4.58,93,100,1.76,NZ,1695828897
44,san julian,21.0167,-102.1667,20.59,44,44,1.97,MX,1695828897
45,san clemente,33.427,-117.612,18.74,94,41,1.29,US,1695828897
46,klaksvik,62.2266,-6.589,11.51,88,73,6.0,FO,1695828897
47,hermanus,-34.4187,19.2345,16.78,72,0,7.01,ZA,1695828897
48,invercargill,-46.4,168.35,2.23,96,99,1.34,NZ,1695828897
